first name,gender,race
barkee,m,black
barnaby,m,black
barnard,m,black
barnett,m,black
barney,m,white
baron,m,black
barrant,m,black
barrett,m,white
barrick,m,black
barrington,m,black
barron,m,black
barry,m,black
barry,m,white
bart,m,white
bartholomew,m,black
bartholomew,m,white
barton,m,black
bary,m,black
bashon,m,black
basil,m,black
basil,m,white
basilio,m,hispanic
batarus,m,black
bathel,m,black
batsheba,f,black
baudilio,m,white
baxter,m,white
bayard,m,white
bayardo,m,white
bayshawn,m,black
bazlyn,f,white
beatrice,f,black
beau,m,black
beau,m,white
beauford,m,black
beauford,m,white
beauharnais,m,black
beaver,m,black
becky,f,black
becky,f,white
bedens,m,black
bedford,m,black
beejay,m,black
bejhorn,m,black
bela,m,black
belarmino,m,white
belinda,f,black
belinda,f,white
belizario,m,hispanic
bell,m,black
beloni,m,black
beltran,m,white
belvie,m,white
ben,m,black
ben,m,white
benancio,m,black
benave,m,black
benaventura,m,white
benay,f,white
bencouse,m,black
bendjy,m,black
bendrick,m,black
benedict,m,white
benfordene,f,black
benigno,m,hispanic
benigno,m,white
benikel,m,black
benito,m,hispanic
benito,m,white
benjamie,m,black
benjamin,m,black
benjamin,m,hispanic
benjamin,m,white
benjamine,m,black
benjee,m,black
benji,m,black
benji,m,white
bennacio,m,white
bennett,m,black
bennett,m,white
bennetta,f,black
bennie,f,white
bennie,m,black
bennie,m,white
bennith,m,black
benny,m,black
benny,m,hispanic
benny,m,white
benoit,m,black
benson,m,black
benson,m,white
benton,m,black
benton,m,white
bentsy,m,white
bentz,m,black
beraldo,m,white
berandon,m,black
berchman,m,white
berenice,f,white
berinthia,f,black
berl,m,white
berlie,m,black
berlin,m,black
bermang,m,black
bermard,m,black
bernabe,m,white
bernadette,f,black
bernadette,f,white
bernadin,m,black
bernadoni,m,black
bernaldino,m,white
bernard,m,black
bernard,m,white
bernardino,m,white
bernardo,m,black
bernardo,m,hispanic
bernardo,m,white
bernell,m,black
bernest,m,black
bernetta,f,white
bernice,f,black
bernice,f,white
bernice,m,black
bernie,m,black
bernie,m,white
bernier,m,white
bernson,m,black
berranda,f,black
berrion,m,black
berry,m,black
berry,m,white
bert,m,white
bertha,f,black
bertha,f,white
berthel,m,black
berthole,m,black
berthony,m,black
bertin,m,hispanic
bertin,m,white
bertney,m,black
berto,m,hispanic
bertram,m,black
bertram,m,white
beshoddrick,m,black
bessman,m,black
beth,f,white
bethany,f,black
bethany,f,white
beto,m,white
betran,m,black
betrice,f,hispanic
betsy,f,black
betsy,f,white
betty,f,black
betty,f,white
beuford,m,white
beulah,f,black
beva,m,black
beverly,f,black
beverly,f,white
bhaktivinod,m,white
bhupendra,m,white
bianca,f,black
bianca,f,white
bianco,m,black
bideau,m,black
bienvenido,m,hispanic
bienvenido,m,white
bijan,f,black
bijan,m,black
bilal,m,black
bill,m,black
bill,m,white
billie,f,black
billie,f,white
billie,m,black
billie,m,white
billy,m,black
billy,m,hispanic
billy,m,white
bilmar,m,hispanic
bing,m,white
binita,f,black
birmengham,m,black
bishop,m,black
bishop,m,white
bivian,f,black
bj,m,white
bladimir,m,white
blaid,m,black
blaide,m,white
blain,m,white
blaine,m,black
blaine,m,white
blair,m,black
blake,m,black
blake,m,white
blakelie,f,white
blanca,f,white
bland,m,black
blandina,f,white
blandon,m,white
blas,m,white
blass,m,white
blending,m,white
blois,m,black
bo,m,hispanic
bo,m,white
boast,m,black
bob,m,black
bob,m,white
bobak,m,white
bobauk,m,white
bobbi,f,white
bobbie,f,black
bobbie,f,white
bobbie,m,black
bobbie,m,white
bobby,f,black
bobby,m,black
bobby,m,hispanic
bobby,m,white
bodie,m,white
bodrick,m,black
bodustin,m,white
bogdan,m,white
bojay,m,white
bolivar,m,black
bolivar,m,white
bomani,m,black
bondie,m,white
bonhomme,m,black
bonifacio,m,hispanic
bonita,f,white
bonnel,m,black
bonnie,f,black
bonnie,f,white
bonnie,m,black
bonny,m,white
bontarious,m,black
booker,m,black
boozley,m,black
boram,m,black
bordoerick,m,black
boris,m,black
boris,m,white
bosephis,m,white
bosichell,m,black
bosley,m,black
boston,m,black
bovia,m,black
bowen,m,white
boyce,m,white
boyd,m,white
boysie,m,black
bracey,m,white
brad,m,black
brad,m,white
brad/odin,m,white
bradd,m,black
braden,m,white
bradford,m,black
bradford,m,white
bradlee,m,white
bradley,m,black
bradley,m,white
bradon,m,black
bradon,m,white
brady,m,black
brady,m,white
bradys,m,black
braian,m,white
braidden,m,white
brain,m,white
brainley,m,black
brandace,f,black
brandall,m,black
brandan,m,black
brandee,f,black
brandel,m,white
branden,m,black
branden,m,hispanic
branden,m,white
brandi,f,white
brandie,f,white
